mg_acc,FSA,origin_date,property_type,purchase_price,amort_period,loan_size,interest_rate,TDS,default,Sample,cust_id,cust_age,cust_gender,cust_income,cust_cr_score,loan_years,lvr
733098,V2K,2012-01-12,detached,299000.0,25,239200.0,2.38,0.135672131870999,1.0,Estimation,2277661,58,male,97500.0,900,10.742156224932687,0.8
575927,V2T,2015-05-16,apartment,337000.0,25,256120.0,2.0,0.155294300375825,0.0,Estimation,7394851,25,male,58800.0,899,7.401909676406708,0.76
613989,V0N,2015-07-08,semi-detached/row/town-houses,249000.0,25,194220.0,1.67,0.117018154264136,0.0,Estimation,1683540,54,female,70000.0,899,7.256800605036317,0.78
50824,V1R,2018-03-26,detached,266000.0,25,210140.0,1.65,0.0822349475638107,0.0,Estimation,8924568,58,male,167600.0,899,4.540796854103717,0.79
7399,V3S,2013-04-27,semi-detached/row/town-houses,568000.0,25,448720.0,2.11,0.294125896008428,0.0,Estimation,936941,47,male,32900.0,898,9.4526020246411,0.79
944560,V9R,2017-02-17,apartment,408000.0,20,326400.0,1.76,0.276050339227368,1.0,Estimation,9965197,51,male,60000.0,897,5.641435470913097,0.8
616754,V5H,2015-02-21,apartment,869000.0,25,695200.0,2.15,0.406853172889563,1.0,Estimation,432963,52,male,54000.0,897,7.631893864993742,0.8
319642,V9R,2014-01-21,apartment,412000.0,25,296640.0,1.53,0.149890774892304,0.0,Estimation,2407158,42,female,46800.0,897,8.716105039761192,0.72
25076,V4B,2016-12-10,apartment,596000.0,30,476800.0,2.98,0.378940798329877,1.0,Estimation,6075427,52,male,45700.0,896,5.8303510543953045,0.8
436807,V3X,2011-04-22,apartment,348000.0,30,278400.0,2.75,0.230208597257437,0.0,Estimation,5409979,53,male,158000.0,896,11.467701581784642,0.8
275805,V9T,2015-12-21,apartment,472000.0,25,368160.0,1.75,0.302349320672285,0.0,Estimation,877469,35,male,98100.0,896,6.802308041876225,0.78
940740,V2E,2011-06-25,semi-detached/row/town-houses,420000.0,25,327600.0,1.9,0.203075088260145,0.0,Estimation,6727161,51,male,68100.0,896,11.292475533337377,0.78
20309,V3B,2018-05-10,semi-detached/row/town-houses,779000.0,25,599830.0,2.33,0.387928509904267,0.0,Estimation,3255982,48,male,120200.0,896,4.417591038789234,0.77
742962,V2A,2018-02-22,apartment,456000.0,30,364800.0,2.06,0.355490847287069,0.0,Estimation,284041,31,male,63200.0,896,4.62840987832735,0.8
941247,V1N,2015-06-05,apartment,290000.0,25,232000.0,2.2,0.212891472502901,0.0,Estimation,671572,34,male,63800.0,896,7.347151536266938,0.8
624702,V9Y,2014-12-14,detached,297000.0,25,237600.0,2.04,0.072890445563116,0.0,Estimation,2233126,55,male,115300.0,895,7.820809448475949,0.8
462866,V8A,2017-07-14,detached,380000.0,25,304000.0,2.26,0.0949219373160531,0.0,Estimation,60613,51,male,62900.0,895,5.238963140885787,0.8
149195,V3S,2018-10-17,semi-detached/row/town-houses,556000.0,25,444800.0,2.2,0.344652802675076,0.0,Estimation,6484082,56,male,20200.0,895,3.979525917671073,0.8
576429,V8B,2018-12-10,semi-detached/row/town-houses,576000.0,25,460800.0,1.89,0.26175762980074,0.0,Estimation,7566928,49,male,42900.0,895,3.8316789392936936,0.8
659109,V2J,2013-12-22,apartment,115000.0,25,92000.0,3.38,0.126949016563051,0.0,Estimation,6511470,45,male,60700.0,895,8.798242249970848,0.8
814213,V4K,2015-07-19,semi-detached/row/town-houses,831000.0,25,623250.0,2.25,0.378710285665357,0.0,Estimation,7433982,44,female,94000.0,895,7.226683627959443,0.75
708933,V8J,2017-09-28,apartment,207000.0,30,161460.0,1.25,0.166878752532021,0.0,Estimation,3919595,50,male,113000.0,894,5.030882208354661,0.78
780319,V4V,2017-03-08,apartment,431000.0,30,344800.0,1.91,0.260268845213072,0.0,Estimation,8911005,51,male,133300.0,894,5.589415237780316,0.8
447707,V3R,2012-04-04,semi-detached/row/town-houses,730000.0,25,576700.0,1.56,0.322974100907968,1.0,Estimation,9203898,43,male,41000.0,894,10.514909943352642,0.79
507923,V1V,2018-02-08,apartment,393000.0,30,290820.0,1.36,0.242148233966134,0.0,Estimation,3363460,52,female,161400.0,894,4.666740576425189,0.74
585603,V3H,2015-02-23,semi-detached/row/town-houses,892000.0,25,695760.0,2.91,0.395784093027507,0.0,Estimation,7726258,30,male,58300.0,894,7.626418050979765,0.78
793853,V0J,2018-10-20,apartment,213000.0,25,166140.0,1.72,0.15841604421102,1.0,Estimation,7363732,51,male,62700.0,893,3.9713121966501075,0.78
266398,V5B,2015-04-13,semi-detached/row/town-houses,897000.0,25,717600.0,1.65,0.290605948031626,0.0,Estimation,1078568,57,male,24100.0,893,7.492260607637329,0.8
287699,V1S,2018-08-23,semi-detached/row/town-houses,392000.0,25,309680.0,1.84,0.203554334702404,0.0,Estimation,6622815,30,male,58600.0,893,4.130110803055441,0.79
502458,V5P,2018-08-07,semi-detached/row/town-houses,1341000.0,25,1072800.0,1.95,0.30769720079697,1.0,Estimation,3300242,31,male,90300.0,893,4.173917315167257,0.8
986412,V0B,2013-12-19,detached,520000.0,25,379600.0,2.32,0.264021382038151,0.0,Estimation,2813607,38,male,98800.0,892,8.806455970991813,0.73
172888,V2B,2015-04-06,apartment,301000.0,30,240800.0,1.35,0.175864926540155,0.0,Estimation,5998422,32,male,63200.0,892,7.5114259566862485,0.8
